FOD1P,total,men,women,total median,women median,men median,Major,Major_Category
1100.0,10761,5028,5733,31000,31085,30000,GENERAL AGRICULTURE,Agriculture & Natural Resources
1101.0,10297,6876,3421,40000,39298,45000,AGRICULTURE PRODUCTION AND MANAGEMENT,Agriculture & Natural Resources
1102.0,2282,1165,1117,60613,25639,63265,AGRICULTURAL ECONOMICS,Agriculture & Natural Resources
1103.0,22468,5836,16632,27518,29000,26863,ANIMAL SCIENCES,Agriculture & Natural Resources
1104.0,5084,1326,3758,45000,45000,30000,FOOD SCIENCE,Agriculture & Natural Resources
1105.0,7505,3509,3996,32686,30000,43852,PLANT SCIENCE AND AGRONOMY,Agriculture & Natural Resources
1106.0,356,223,133,35002,33300,36078,SOIL SCIENCE,Agriculture & Natural Resources
1199.0,2085,601,1484,50359,49323,53826,MISCELLANEOUS AGRICULTURE,Agriculture & Natural Resources
1301.0,37622,17617,20005,35000,34475,35000,ENVIRONMENTAL SCIENCE,Biology & Life Science
1302.0,4122,3799,323,34291,32874,40000,FORESTRY,Agriculture & Natural Resources
1303.0,13098,6479,6619,40000,39864,41849,NATURAL RESOURCES MANAGEMENT,Agriculture & Natural Resources
1401.0,37410,18989,18421,44668,40000,50000,ARCHITECTURE,Engineering
1501.0,24255,5775,18480,40000,37000,50000,AREA ETHNIC AND CIVILIZATION STUDIES,Humanities & Liberal Arts
1901.0,174969,55944,119025,40000,40000,40000,COMMUNICATIONS,Communications & Journalism
1902.0,57667,17365,40302,37000,37000,35787,JOURNALISM,Communications & Journalism
1903.0,47596,20715,26881,40000,40000,39513,MASS MEDIA,Communications & Journalism
1904.0,39709,9412,30297,38227,37000,40000,ADVERTISING AND PUBLIC RELATIONS,Communications & Journalism
2001.0,15211,8551,6660,34330,31843,35165,COMMUNICATION TECHNOLOGIES,Computers & Mathematics
2100.0,38365,26617,11748,56608,52582,60000,COMPUTER AND INFORMATION SYSTEMS,Computers & Mathematics
2101.0,5591,4289,1302,49869,34392,50406,COMPUTER PROGRAMMING AND DATA PROCESSING,Computers & Mathematics
2102.0,145540,112753,32787,70000,60000,70000,COMPUTER SCIENCE,Computers & Mathematics
2105.0,13564,10775,2789,49712,31450,50000,INFORMATION SCIENCES,Computers & Mathematics
2106.0,7335,6275,1060,48172,51413,47628,COMPUTER ADMINISTRATION MANAGEMENT AND SECURITY,Computers & Mathematics
2107.0,6119,4128,1991,40142,33948,48440,COMPUTER NETWORKING AND TELECOMMUNICATIONS,Computers & Mathematics
2201.0,8572,2974,5598,27491,27465,28968,COSMETOLOGY SERVICES AND CULINARY ARTS,Industrial Arts & Consumer Services
2300.0,114647,21581,93066,38000,37000,40000,GENERAL EDUCATION,Education
2301.0,1959,602,1357,38681,35981,51542,EDUCATIONAL ADMINISTRATION AND SUPERVISION,Education
2303.0,353,0,353,43303,43303,-1,SCHOOL STUDENT COUNSELING,Education
2304.0,98916,7469,91447,36000,36000,36668,ELEMENTARY EDUCATION,Education
2305.0,11747,4024,7723,44000,43983,40793,MATHEMATICS TEACHER EDUCATION,Education
2306.0,19891,11214,8677,35347,35000,36321,PHYSICAL AND HEALTH EDUCATION TEACHING,Education
2307.0,29100,805,28295,32000,32000,26415,EARLY CHILDHOOD EDUCATION,Education
2308.0,4427,1289,3138,32940,33500,31052,SCIENCE AND COMPUTER TEACHER EDUCATION,Education
2309.0,10785,5392,5393,38000,38900,37362,SECONDARY TEACHER EDUCATION,Education
2310.0,18895,1471,17424,37814,37000,45443,SPECIAL NEEDS EDUCATION,Education
2311.0,11230,5812,5418,38000,38093,38000,SOCIAL SCIENCE OR HISTORY TEACHER EDUCATION,Education
2312.0,10787,2075,8712,38000,38000,32952,TEACHER EDUCATION: MULTIPLE LEVELS,Education
2313.0,16846,2709,14137,36781,36945,36106,LANGUAGE AND DRAMA EDUCATION,Education
2314.0,25540,10293,15247,37353,35908,39383,ART AND MUSIC EDUCATION,Education
2399.0,6173,2811,3362,39531,30713,40000,MISCELLANEOUS EDUCATION,Education
2400.0,50457,39791,10666,60000,59606,60000,GENERAL ENGINEERING,Engineering
2401.0,13198,11142,2056,65888,68812,65837,AEROSPACE ENGINEERING,Engineering
2402.0,9508,5671,3837,52743,35878,58723,BIOLOGICAL ENGINEERING,Engineering
2403.0,2646,1577,1069,68805,67180,72002,ARCHITECTURAL ENGINEERING,Engineering
2404.0,16877,9261,7616,57000,60533,55985,BIOMEDICAL ENGINEERING,Engineering
2405.0,31390,20360,11030,70000,70000,69878,CHEMICAL ENGINEERING,Engineering
2406.0,49157,34923,14234,58000,59170,56000,CIVIL ENGINEERING,Engineering
2407.0,46363,35531,10832,72000,64333,75000,COMPUTER ENGINEERING,Engineering
2408.0,81681,63953,17728,70000,67519,70000,ELECTRICAL ENGINEERING,Engineering
2409.0,3257,2913,344,71142,75000,68503,ENGINEERING MECHANICS PHYSICS AND SCIENCE,Engineering
2410.0,4875,2557,2318,40173,32894,48410,ENVIRONMENTAL ENGINEERING,Engineering
2411.0,669,459,210,44813,37885,50186,GEOLOGICAL AND GEOPHYSICAL ENGINEERING,Engineering
2412.0,13044,9221,3823,65000,59702,65000,INDUSTRIAL AND MANUFACTURING ENGINEERING,Engineering
2413.0,3581,2042,1539,57070,43810,62933,MATERIALS ENGINEERING AND MATERIALS SCIENCE,Engineering
2414.0,97596,86236,11360,60000,69301,60000,MECHANICAL ENGINEERING,Engineering
2415.0,162,104,58,21000,-1,21000,METALLURGICAL ENGINEERING,Engineering
2416.0,837,676,161,70512,-1,70512,MINING AND MINERAL ENGINEERING,Engineering
2417.0,1114,867,247,67676,67000,69923,NAVAL ARCHITECTURE AND MARINE ENGINEERING,Engineering
2418.0,2323,1441,882,46223,46251,48000,NUCLEAR ENGINEERING,Engineering
2419.0,5371,4184,1187,94360,90895,96086,PETROLEUM ENGINEERING,Engineering
2499.0,10505,8753,1752,61467,59000,60777,MISCELLANEOUS ENGINEERING,Engineering
2500.0,5841,3756,2085,49660,32741,54298,ENGINEERING TECHNOLOGIES,Engineering
2501.0,1822,1198,624,49705,55000,45896,ENGINEERING AND INDUSTRIAL MANAGEMENT,Engineering
2502.0,10746,7853,2893,65110,21101,71703,ELECTRICAL ENGINEERING TECHNOLOGY,Engineering
2503.0,2398,1856,542,45574,22876,62926,INDUSTRIAL PRODUCTION TECHNOLOGIES,Engineering
2504.0,2638,2492,146,56129,86123,50000,MECHANICAL ENGINEERING RELATED TECHNOLOGIES,Engineering
2599.0,9666,7124,2542,40000,15000,42416,MISCELLANEOUS ENGINEERING TECHNOLOGIES,Engineering
2601.0,13221,3119,10102,32240,33548,30000,LINGUISTICS AND COMPARATIVE LANGUAGE AND LITERATURE,Humanities & Liberal Arts
2602.0,31770,7859,23911,33754,34800,32600,FRENCH GERMAN LATIN AND OTHER COMMON FOREIGN LANGUAGE STUDIES,Humanities & Liberal Arts
2603.0,9254,2390,6864,40753,35106,62601,OTHER FOREIGN LANGUAGES,Humanities & Liberal Arts
2901.0,51590,4025,47565,31000,32000,28977,FAMILY AND CONSUMER SCIENCES,Industrial Arts & Consumer Services
3201.0,1294,595,699,38930,23000,41692,COURT REPORTING,Law & Public Policy
3202.0,7656,3273,4383,40000,49000,31966,PRE-LAW AND LEGAL STUDIES,Law & Public Policy
3301.0,142235,41096,101139,38569,38500,40000,ENGLISH LANGUAGE AND LITERATURE,Humanities & Liberal Arts
3302.0,16677,5127,11550,32423,36670,27536,COMPOSITION AND RHETORIC,Humanities & Liberal Arts
3401.0,62353,17754,44599,33421,34692,30000,LIBERAL ARTS,Humanities & Liberal Arts
3402.0,4242,1359,2883,25325,23265,30000,HUMANITIES,Humanities & Liberal Arts
3501.0,1779,61,1718,42553,42553,-1,LIBRARY SCIENCE,Education
3600.0,249807,99031,150776,37000,36000,38000,BIOLOGY,Biology & Life Science
3601.0,35615,18128,17487,42000,41928,40567,BIOCHEMICAL SCIENCES,Biology & Life Science
3602.0,714,359,355,37829,36604,36865,BOTANY,Biology & Life Science
3603.0,14057,5712,8345,40000,40000,56270,MOLECULAR BIOLOGY,Biology & Life Science
3604.0,11658,4485,7173,30000,21243,33512,ECOLOGY,Biology & Life Science
3605.0,2249,901,1348,30000,30000,20467,GENETICS,Biology & Life Science
3606.0,10683,6079,4604,36000,35000,37000,MICROBIOLOGY,Biology & Life Science
3607.0,1402,485,917,91395,74553,96050,PHARMACOLOGY,Biology & Life Science
3608.0,22516,10501,12015,40000,44433,37329,PHYSIOLOGY,Biology & Life Science
3609.0,7055,3524,3531,23673,18950,25787,ZOOLOGY,Biology & Life Science
3611.0,15796,5481,10315,45000,45000,39950,NEUROSCIENCE,Biology & Life Science
3699.0,12332,6490,5842,34628,30483,38653,MISCELLANEOUS BIOLOGY,Biology & Life Science
3700.0,65379,37827,27552,45000,44899,47000,MATHEMATICS,Computers & Mathematics
3701.0,5595,3789,1806,52284,61610,51000,APPLIED MATHEMATICS,Computers & Mathematics
3702.0,8393,3771,4622,62000,62000,67773,STATISTICS AND DECISION SCIENCE,Computers & Mathematics
4000.0,13215,3948,9267,40000,35000,48289,MULTI/INTERDISCIPLINARY STUDIES,Interdisciplinary
4001.0,22566,6705,15861,37731,35000,41744,INTERCULTURAL AND INTERNATIONAL STUDIES,Humanities & Liberal Arts
4002.0,17702,4190,13512,36193,36155,40000,NUTRITION SCIENCES,Health
4005.0,812,812,0,59593,-1,59593,MATHEMATICS AND COMPUTER SCIENCE,Computers & Mathematics
4006.0,3899,1335,2564,30000,28903,39166,COGNITIVE SCIENCE AND BIOPSYCHOLOGY,Biology & Life Science
4007.0,6888,2491,4397,35100,31897,38057,INTERDISCIPLINARY SOCIAL SCIENCES,Social Science
4101.0,138506,71926,66580,35050,35000,35233,PHYSICAL FITNESS PARKS RECREATION AND LEISURE,Industrial Arts & Consumer Services
4801.0,40205,24937,15268,35000,35000,35000,PHILOSOPHY AND RELIGIOUS STUDIES,Humanities & Liberal Arts
4901.0,21632,13002,8630,30006,26000,33000,THEOLOGY AND RELIGIOUS VOCATIONS,Humanities & Liberal Arts
5000.0,515,515,0,-1,-1,-1,PHYSICAL SCIENCES,Physical Sciences
5001.0,1087,352,735,30000,33600,30000,ASTRONOMY AND ASTROPHYSICS,Physical Sciences
5002.0,4178,3052,1126,40312,27736,48189,ATMOSPHERIC SCIENCES AND METEOROLOGY,Physical Sciences
5003.0,53372,27109,26263,40000,43718,40000,CHEMISTRY,Physical Sciences
5004.0,17684,9795,7889,39585,29984,50000,GEOLOGY AND EARTH SCIENCE,Physical Sciences
5005.0,1966,947,1019,44704,47833,26429,GEOSCIENCES,Physical Sciences
5006.0,3088,1317,1771,39120,38992,39939,OCEANOGRAPHY,Physical Sciences
5007.0,26827,21531,5296,40000,40750,40000,PHYSICS,Physical Sciences
5008.0,5903,3127,2776,52719,35866,57673,MATERIALS SCIENCE,Engineering
5098.0,45450,18946,26504,45000,42000,47397,MULTI-DISCIPLINARY OR GENERAL SCIENCE,Physical Sciences
5102.0,1013,359,654,30000,31589,85178,"NUCLEAR, INDUSTRIAL RADIOLOGY, AND BIOLOGICAL TECHNOLOGIES",Physical Sciences
5200.0,334037,77022,257015,35000,35000,38582,PSYCHOLOGY,Psychology & Social Work
5201.0,1217,0,1217,38675,38675,-1,EDUCATIONAL PSYCHOLOGY,Psychology & Social Work
5202.0,2716,522,2194,29736,25000,41135,CLINICAL PSYCHOLOGY,Psychology & Social Work
5203.0,5341,780,4561,40170,40812,25162,COUNSELING PSYCHOLOGY,Psychology & Social Work
5205.0,2655,833,1822,36579,40945,32704,INDUSTRIAL AND ORGANIZATIONAL PSYCHOLOGY,Psychology & Social Work
5206.0,476,174,302,41134,40755,41200,SOCIAL PSYCHOLOGY,Psychology & Social Work
5299.0,8001,446,7555,32000,31163,50000,MISCELLANEOUS PSYCHOLOGY,Psychology & Social Work
5301.0,150185,87229,62956,37505,35000,40000,CRIMINAL JUSTICE AND FIRE PROTECTION,Law & Public Policy
5401.0,4078,2211,1867,40028,39666,51191,PUBLIC ADMINISTRATION,Law & Public Policy
5402.0,5259,1579,3680,59610,55934,73174,PUBLIC POLICY,Law & Public Policy
5403.0,8782,801,7981,32973,34059,35192,HUMAN SERVICES AND COMMUNITY ORGANIZATION,Psychology & Social Work
5404.0,51019,5689,45330,34000,34328,32162,SOCIAL WORK,Psychology & Social Work
5500.0,12484,3450,9034,35810,25203,37000,GENERAL SOCIAL SCIENCES,Social Science
5501.0,105513,67930,37583,55000,53000,55000,ECONOMICS,Social Science
5502.0,36707,8528,28179,33000,36370,29835,ANTHROPOLOGY AND ARCHEOLOGY,Humanities & Liberal Arts
5503.0,22037,11080,10957,40082,35000,50000,CRIMINOLOGY,Social Science
5504.0,13071,8299,4772,44639,44858,41987,GEOGRAPHY,Social Science
5505.0,21357,7015,14342,45000,42000,50240,INTERNATIONAL RELATIONS,Social Science
5506.0,134118,67506,66612,45000,42000,48313,POLITICAL SCIENCE AND GOVERNMENT,Social Science
5507.0,82189,24831,57358,36032,35000,43965,SOCIOLOGY,Social Science
