FOD1P,total,total_grad,total_no_grad,total_men,total_grad_men,total_no_grad_men,total_women,total_grad_women,total_no_grad_women,overall_median,overall_grad_median,overall_no_grad_median,women_median,women_grad_median,women_no_grad_median,men_median,men_grad_median,men_no_grad_median,Major,Major_Category
1100.0,170505,45377,125128,127986,33228,94758,42519,12149,30370,50000,65000,47000,47764,64053,42024,50000,65000,48898,GENERAL AGRICULTURE,Agriculture & Natural Resources
1101.0,136837,17494,119343,101389,11632,89757,35448,5862,29586,58000,70646,55000,45000,50000,42000,62000,80000,60000,AGRICULTURE PRODUCTION AND MANAGEMENT,Agriculture & Natural Resources
1102.0,54801,15503,39298,43255,12661,30594,11546,2842,8704,70000,104243,62142,72521,100000,67847,70000,105000,60000,AGRICULTURAL ECONOMICS,Agriculture & Natural Resources
1103.0,204562,75683,128879,92100,37913,54187,112462,37770,74692,58000,82000,44600,50000,80000,39000,68000,84325,55000,ANIMAL SCIENCES,Agriculture & Natural Resources
1104.0,58607,22855,35752,21955,8528,13427,36652,14327,22325,65000,82000,55031,62000,80000,50000,71000,90037,62126,FOOD SCIENCE,Agriculture & Natural Resources
1105.0,133109,37552,95557,96139,26300,69839,36970,11252,25718,58000,70000,54000,45000,56000,42000,60000,74332,58000,PLANT SCIENCE AND AGRONOMY,Agriculture & Natural Resources
1106.0,7955,3820,4135,5249,2404,2845,2706,1416,1290,56123,69086,54402,44280,55944,26738,64222,71466,63272,SOIL SCIENCE,Agriculture & Natural Resources
1199.0,23919,10815,13104,12104,5418,6686,11815,5397,6418,52000,69441,50000,48746,52901,46187,58136,70146,54000,MISCELLANEOUS AGRICULTURE,Agriculture & Natural Resources
1301.0,239816,67775,172041,118315,28217,90098,121501,39558,81943,60000,75000,54000,53000,65000,46000,65000,85823,60000,ENVIRONMENTAL SCIENCE,Biology & Life Science
1302.0,101285,25337,75948,85914,20694,65220,15371,4643,10728,67000,76000,62727,58000,76712,50000,70000,76028,65000,FORESTRY,Agriculture & Natural Resources
1303.0,157029,45865,111164,99859,28853,71006,57170,17012,40158,55000,70000,50000,50000,64436,43017,60000,75000,54000,NATURAL RESOURCES MANAGEMENT,Agriculture & Natural Resources
1401.0,542350,217618,324732,352335,138494,213841,190015,79124,110891,72000,75000,70000,64000,70000,58000,75000,80000,75000,ARCHITECTURE,Engineering
1501.0,234553,102415,132138,78429,35180,43249,156124,67235,88889,65000,78000,55223,63363,75121,52000,69085,88281,60000,AREA ETHNIC AND CIVILIZATION STUDIES,Humanities & Liberal Arts
1901.0,1649455,373156,1276299,632066,129683,502383,1017389,243473,773916,60000,72000,58000,58000,69000,55000,66000,80000,62000,COMMUNICATIONS,Communications & Journalism
1902.0,636227,161358,474869,244347,58771,185576,391880,102587,289293,61000,75000,58000,60000,70000,55000,68000,85000,61124,JOURNALISM,Communications & Journalism
1903.0,373597,67420,306177,188835,28732,160103,184762,38688,146074,54000,63025,51000,52000,60000,50000,55000,70582,52000,MASS MEDIA,Communications & Journalism
1904.0,290046,51863,238183,98328,19959,78369,191718,31904,159814,60000,68000,60000,58000,65000,56000,72000,90000,70000,ADVERTISING AND PUBLIC RELATIONS,Communications & Journalism
2001.0,109158,13335,95823,70293,7667,62626,38865,5668,33197,57000,67371,55000,50000,60388,48306,60000,74571,59944,COMMUNICATION TECHNOLOGIES,Computers & Mathematics
2100.0,549329,143631,405698,377938,94235,283703,171391,49396,121995,80000,95000,75000,72762,80285,70000,81000,100000,75000,COMPUTER AND INFORMATION SYSTEMS,Computers & Mathematics
2101.0,44768,7970,36798,32095,5604,26491,12673,2366,10307,75000,77901,74000,55725,71288,54000,77093,90000,75000,COMPUTER PROGRAMMING AND DATA PROCESSING,Computers & Mathematics
2102.0,1595306,510513,1084793,1173096,364411,808685,422210,146102,276108,100000,115000,90000,87000,100000,76000,100000,120000,95000,COMPUTER SCIENCE,Computers & Mathematics
2105.0,150677,42220,108457,104936,28798,76138,45741,13422,32319,89000,102000,81000,80000,101947,74721,91129,101514,85000,INFORMATION SCIENCES,Computers & Mathematics
2106.0,98999,20846,78153,73892,14779,59113,25107,6067,19040,70000,95000,65000,73000,96535,65000,70000,91139,65000,COMPUTER ADMINISTRATION MANAGEMENT AND SECURITY,Computers & Mathematics
2107.0,81250,16304,64946,58342,11014,47328,22908,5290,17618,72293,95518,65000,57256,77216,53761,75497,97210,73878,COMPUTER NETWORKING AND TELECOMMUNICATIONS,Computers & Mathematics
2201.0,74776,8290,66486,41079,3364,37715,33697,4926,28771,45000,49870,45000,32558,47625,30232,50000,60000,50000,COSMETOLOGY SERVICES AND CULINARY ARTS,Industrial Arts & Consumer Services
2300.0,3042037,1435697,1606340,714208,360943,353265,2327829,1074754,1253075,52000,60000,45000,50000,60000,43000,60000,70000,50000,GENERAL EDUCATION,Education
2301.0,64104,59733,4371,27354,26042,1312,36750,33691,3059,66434,70000,50000,60229,65000,58172,75000,80000,50000,EDUCATIONAL ADMINISTRATION AND SUPERVISION,Education
2303.0,28930,26075,2855,5329,5329,0,23601,20746,2855,55690,60000,20617,50000,55000,20617,74526,74526,-1,SCHOOL STUDENT COUNSELING,Education
2304.0,2513308,1152561,1360747,243561,129019,114542,2269747,1023542,1246205,50000,60000,43000,50000,60000,42000,56000,70000,46523,ELEMENTARY EDUCATION,Education
2305.0,164836,88166,76670,63020,38150,24870,101816,50016,51800,58000,65762,46000,55000,65000,46000,60288,70000,46319,MATHEMATICS TEACHER EDUCATION,Education
2306.0,467321,206547,260774,243628,106241,137387,223693,100306,123387,57000,65000,50000,56000,64000,50000,59000,70000,52000,PHYSICAL AND HEALTH EDUCATION TEACHING,Education
2307.0,321168,116835,204333,9165,3540,5625,312003,113295,198708,44000,55000,38500,44000,54000,38982,48279,70524,32276,EARLY CHILDHOOD EDUCATION,Education
2308.0,132101,76931,55170,63393,40513,22880,68708,36418,32290,58848,68000,45000,57000,65000,45000,60000,70000,46492,SCIENCE AND COMPUTER TEACHER EDUCATION,Education
2309.0,397246,208766,188480,179715,99518,80197,217531,109248,108283,55000,64000,48000,51004,58000,43619,60610,70000,53375,SECONDARY TEACHER EDUCATION,Education
2310.0,398155,237376,160779,45931,29883,16048,352224,207493,144731,54000,60000,45000,53000,60000,45000,60000,62000,47768,SPECIAL NEEDS EDUCATION,Education
2311.0,245873,127071,118802,128465,69786,58679,117408,57285,60123,56000,65000,49000,51930,60000,45000,60000,70000,52000,SOCIAL SCIENCE OR HISTORY TEACHER EDUCATION,Education
2312.0,172617,83931,88686,38335,20717,17618,134282,63214,71068,50000,55000,41000,47372,52000,40000,58000,63398,50000,TEACHER EDUCATION: MULTIPLE LEVELS,Education
2313.0,392251,214114,178137,62827,36379,26448,329424,177735,151689,53000,62000,45000,52000,60000,45000,60000,68000,50000,LANGUAGE AND DRAMA EDUCATION,Education
2314.0,438949,206168,232781,150733,81964,68769,288216,124204,164012,50000,60000,45000,50000,59000,43000,55000,65000,48000,ART AND MUSIC EDUCATION,Education
2399.0,382269,171287,210982,169895,79060,90835,212374,92227,120147,60000,68000,56000,54000,62000,47483,70000,71000,68000,MISCELLANEOUS EDUCATION,Education
2400.0,902552,321650,580902,750993,271280,479713,151559,50370,101189,85000,100000,78000,75679,90000,69944,87000,103000,80000,GENERAL ENGINEERING,Engineering
2401.0,155632,74741,80891,138815,65208,73607,16817,9533,7284,103000,120000,90000,100021,120036,85000,103375,120000,90000,AEROSPACE ENGINEERING,Engineering
2402.0,73025,30030,42995,53117,20826,32291,19908,9204,10704,79214,86678,72000,62000,69964,50000,81586,95000,77609,BIOLOGICAL ENGINEERING,Engineering
2403.0,30717,10716,20001,23162,6752,16410,7555,3964,3591,89981,83888,95000,69311,69615,62186,100000,100000,100000,ARCHITECTURAL ENGINEERING,Engineering
2404.0,77931,41485,36446,45011,24577,20434,32920,16908,16012,85000,100000,73000,75000,80000,69968,92265,107273,80000,BIOMEDICAL ENGINEERING,Engineering
2405.0,434490,205419,229071,316975,150592,166383,117515,54827,62688,101858,117839,93000,90000,100000,80000,110000,120000,98345,CHEMICAL ENGINEERING,Engineering
2406.0,685726,258035,427691,572259,212890,359369,113467,45145,68322,90000,100000,84000,77000,89295,70000,93000,102000,86000,CIVIL ENGINEERING,Engineering
2407.0,425976,157857,268119,337893,123274,214619,88083,34583,53500,100000,120000,90000,85000,100000,78000,102000,122781,95000,COMPUTER ENGINEERING,Engineering
2408.0,1445817,650142,795675,1247907,556179,691728,197910,93963,103947,108000,124000,98000,100000,103395,90000,110000,127000,100000,ELECTRICAL ENGINEERING,Engineering
2409.0,47205,28381,18824,40328,23992,16336,6877,4389,2488,100000,120000,86716,89335,91060,89216,102907,125000,84514,ENGINEERING MECHANICS PHYSICS AND SCIENCE,Engineering
2410.0,44736,18840,25896,24987,9065,15922,19749,9775,9974,79641,84000,72000,67651,67907,65553,85000,97721,80000,ENVIRONMENTAL ENGINEERING,Engineering
2411.0,10550,4548,6002,8298,3728,4570,2252,820,1432,81854,84669,80779,57756,86339,46629,91542,85207,106392,GEOLOGICAL AND GEOPHYSICAL ENGINEERING,Engineering
2412.0,298889,119007,179882,223846,88919,134927,75043,30088,44955,92000,107290,83000,82000,95000,75000,97000,115000,85414,INDUSTRIAL AND MANUFACTURING ENGINEERING,Engineering
2413.0,46261,22015,24246,35712,16100,19612,10549,5915,4634,99757,113275,80000,86346,92519,80000,100000,118000,80000,MATERIALS ENGINEERING AND MATERIALS SCIENCE,Engineering
2414.0,1201765,471500,730265,1088889,423372,665517,112876,48128,64748,100000,115000,89000,90000,100000,79000,100000,115000,90000,MECHANICAL ENGINEERING,Engineering
2415.0,25738,13583,12155,22410,12388,10022,3328,1195,2133,110000,110976,103005,112772,137219,90140,107575,110000,104977,METALLURGICAL ENGINEERING,Engineering
2416.0,21701,8596,13105,19287,7768,11519,2414,828,1586,90000,114521,78795,47172,78818,56264,90000,115000,88000,MINING AND MINERAL ENGINEERING,Engineering
2417.0,28964,10179,18785,27623,9835,17788,1341,344,997,102949,132869,84000,91636,107120,78320,103000,134244,84000,NAVAL ARCHITECTURE AND MARINE ENGINEERING,Engineering
2418.0,26179,13875,12304,23169,12610,10559,3010,1265,1745,110000,125000,86655,90000,105619,66696,110000,128543,92808,NUCLEAR ENGINEERING,Engineering
2419.0,37549,7874,29675,31460,6540,24920,6089,1334,4755,111847,124197,110000,78494,20049,79015,128913,167790,125646,PETROLEUM ENGINEERING,Engineering
2499.0,111230,37239,73991,85739,28459,57280,25491,8780,16711,88326,100000,80000,70000,75000,62825,92000,110000,85000,MISCELLANEOUS ENGINEERING,Engineering
2500.0,69429,16263,53166,51758,12468,39290,17671,3795,13876,75864,91058,72000,70000,95184,68754,80000,90000,75000,ENGINEERING TECHNOLOGIES,Engineering
2501.0,71400,22778,48622,59025,19318,39707,12375,3460,8915,92000,125000,78000,79405,97769,68070,100000,140000,80000,ENGINEERING AND INDUSTRIAL MANAGEMENT,Engineering
2502.0,162850,43548,119302,129504,32872,96632,33346,10676,22670,85000,100000,80000,80000,94621,75000,86000,100000,82000,ELECTRICAL ENGINEERING TECHNOLOGY,Engineering
2503.0,105435,25320,80115,96268,22154,74114,9167,3166,6001,82000,100000,80000,84243,85925,80000,82000,102246,80000,INDUSTRIAL PRODUCTION TECHNOLOGIES,Engineering
2504.0,49815,9611,40204,46735,8566,38169,3080,1045,2035,80000,94275,80000,72941,77978,74068,80000,95496,80000,MECHANICAL ENGINEERING RELATED TECHNOLOGIES,Engineering
2599.0,100618,21157,79461,77402,15789,61613,23216,5368,17848,80000,87707,74000,55000,83067,50000,84000,88123,80000,MISCELLANEOUS ENGINEERING TECHNOLOGIES,Engineering
2601.0,163579,72735,90844,46387,22938,23449,117192,49797,67395,60000,75000,50487,60000,70000,49137,69282,82000,56834,LINGUISTICS AND COMPARATIVE LANGUAGE AND LITERATURE,Humanities & Liberal Arts
2602.0,516704,267677,249027,124017,70044,53973,392687,197633,195054,62000,72000,50000,60000,70000,50000,70000,80000,58774,FRENCH GERMAN LATIN AND OTHER COMMON FOREIGN LANGUAGE STUDIES,Humanities & Liberal Arts
2603.0,126656,60091,66565,47508,22917,24591,79148,37174,41974,63000,75000,52000,60000,65000,54421,69550,85000,52000,OTHER FOREIGN LANGUAGES,Humanities & Liberal Arts
2901.0,661544,196678,464866,49524,13699,35825,612020,182979,429041,50000,60967,45000,49000,60000,43000,67754,90000,60000,FAMILY AND CONSUMER SCIENCES,Industrial Arts & Consumer Services
3201.0,8278,652,7626,6012,353,5659,2266,299,1967,51647,65066,50567,48943,59317,48263,63481,119936,60392,COURT REPORTING,Law & Public Policy
3202.0,118580,34557,84023,37019,15519,21500,81561,19038,62523,60000,80000,54000,55000,70000,51830,75000,100000,60000,PRE-LAW AND LEGAL STUDIES,Law & Public Policy
